"SURVEY_YEAR","BIOMASS_MT_MALE_LE119","CV_BIOMASS_MT_MALE_LE119","CI_BIOMASS_MT_MALE_LE119","BIOMASS_MT_MALE_GE120","CV_BIOMASS_MT_MALE_GE120","CI_BIOMASS_MT_MALE_GE120","BIOMASS_MT_MALE_GE135","CV_BIOMASS_MT_MALE_GE135","CI_BIOMASS_MT_MALE_GE135","BIOMASS_MT_MALE_LE104","CV_BIOMASS_MT_MALE_LE104","CI_BIOMASS_MT_MALE_LE104","BIOMASS_MT_MALE_GE105","CV_BIOMASS_MT_MALE_GE105","CI_BIOMASS_MT_MALE_GE105","BIOMASS_MT_MALE_105TO119","CV_BIOMASS_MT_MALE_105TO119","CI_BIOMASS_MT_MALE_105TO119","BIOMASS_MT_MALE_120TO134","CV_BIOMASS_MT_MALE_120TO134","CI_BIOMASS_MT_MALE_120TO134","BIOMASS_MT_MALE_RECRUIT_PRIB","CV_BIO_MT_MALE_RECRUIT_PRIB","CI_BIO_MT_MALE_RECRUIT_PRIB","BIOMASS_MT_MALE_PR_PRIB","CV_BIOMASS_MT_MALE_PR_PRIB","CI_BIOMASS_MT_MALE_PR_PRIB","BIOMASS_MT_IMMATURE_FEMALE","CV_BIOMASS_MT_IMMATURE_FEMALE","CI_BIOMASS_MT_IMMATURE_FEMALE","BIOMASS_MT_MATURE_FEMALE","CV_BIOMASS_MT_MATURE_FEMALE","CI_BIOMASS_MT_MATURE_FEMALE"
1975,8340.953163638873001344926912442528167876,0.5245896330902574494891644285389091084111,8576.132017083223442688820453514956760725,38053.5908343955841573583896998177380717,0.5005584387090108783367631491621782634426,37334.1701900596970768842501442398481105,27016.4720833428679578314411824843632633,0.4993229696934996940505969137068001987056,26440.2923397407311396961017487655542768,2761.339723174796438397684528155331147143,0.710648956298036214321429120552657397331,3846.192656826615570740055135988169634893,43633.2042748596607203056320841049350927,0.482934958732761207298775401255381388725,41301.1194234806806912859939544830013952,5579.613440464076562947242384287197020722,0.4631342769656427526394909781116406790981,5064.85606353434046923421522615719332493,11037.1187510527161995269485173333748084,0.5218475835832103486072603446224406199019,11288.9997499172890363093659554361452092,11324.0896568312882451305239547157127046,0.5089159850487652286772486752250689283004,11295.5000752741845612224699460530293,15692.3824265115797127009172277686505587,0.496445604225491759942929489300047655379,15269.2119799153782796543937176172938927,0,0,0,12442.2740058267345174870639362968986635,0.6364714818930842470990767295679878625902,15521.5390462323527904486694312517791822
1976,4128.672501912378188473304965120459991733,0.9442101456963561750621332785693663066065,7640.735550543922917172291720658334549392,14058.9325353269278140317675192368796491,0.4505665727370277890459339267225106659674,12415.5906956153595855426899734704850174,12648.9386876521814893869347905871305398,0.4675291737324180835225798818304508994758,11590.9457923308806649442662702319017206,3137.78030320334836602344604658870818841,0.9707919023300353915556795949156915943036,5970.41815089536785584766258564211009266,15049.8247340359576364816264377686314524,0.4386505456278829217257487010992212117067,12939.1631091302063529207660126054747731,990.892198709029822449858918531751803311,0.8677516033669063754367962881526577688184,1685.302656619298855201892687516259783026,1409.9938476747463246448327286497491093,0.4840382842894061933927089702243596700132,1337.682365658721004426995254426119279465,3940.490810379159134440633008893429153104,0.5142648478586041328356586599807638703479,3971.853577892217319730318935184486333302,8708.447877273022354946301781693701386713,0.4620781180975141278259768133400709655662,7887.007085093995289174915199064554244213,4967.702128744858717553794535090050567831,0.9718306214099003965865765336059202312628,9462.419491644506098638768987400536202356,823.800343929411908477162947026146346721,0.5316960838646555715326064169517333716277,858.50237683710440698221462470706221231
1977,3713.34034652261102397852377116390779762,0.443460249125171353700796254242694883298,3227.568916904715725229373181706450967383,42618.3165026080616099852062267890704077,0.7676377227240876241262724500878018739491,64122.2377557370518269689660173300348571,40365.9385928121278223467705203661575188,0.7843182382617135707766579154869574064172,62053.0940120740461116387218261342568009,1472.334860880844542198421329635250749274,0.5713222397097299493159088828828900284827,1648.708194629469214007529634530595249475,44859.3219882498280917653086683177274563,0.7500999150369494056421229438659449271825,65951.9882795226505773295478019915070196,2241.005485641766481780102441528657048336,0.5117020546791397722500421045006634354263,2247.58513863822612920834951977876011983,2252.377909795933787638435706422912888916,0.5836783846543897148474374557095441952915,2576.742028041005828477266102714955554994,8632.397219499999603226003078478898376692,0.7764917571107875955011658636522160145282,13137.8511586937504941445290552776122109,31733.5413733121282191207674418872591421,0.7882235939555283400831381112168728241683,49025.7270192087347323550714706883492877,418.579771852348952610965480272175508517,0.8288365894933338340842515795726412114157,679.991091844677415226138705824661472008,13153.8718300181375611297277375051425418,0.8753222449500286121747506963275028638191,22567.1981752713779670066621687701341573
1978,2765.305703359793883449940285725464888705,0.5094733459573826007046834082630615395506,2761.345116600065088902233959148019804334,17369.7123746441099472881228719850242738,0.5580434608704962397164153605506538632734,18998.3866394281099937493955758706957585,13516.821729449534592226747034675475848,0.6424452161987393833938174576775872685721,17020.282218260208271188774918135910626,357.753603626412548424802476356243084046,0.4984936248065679267612452565540593384334,349.542265692311330873283313016102483918,19777.2644743774912823132606813542460784,0.5129861373344339549987512193123429329838,19885.1065191147696793793414896915719091,2407.552099733381335025137809369221804654,0.537328167462860156594074780887082916761,2535.545293329353889770030989491002572327,3852.890645194575355061375837309548425782,0.4048387901434386059900740517685223758871,3057.207191216867150392118342062981016333,2640.88146763680660101896682439296246729,0.4196688529401442771320450753882485664591,2172.259564697085820053804474000493063513,10875.9402618127279912077802102825133807,0.711529910121400739248759679847376718664,15167.5713220677345856060147704717357067,76.39559819005825772647753678553713826897,1,149.735372452514185143895972099652791007,6415.740426459011054702383992738322668686,0.7248332019936497066062712907906607032099,9114.66968588196179415511834305833983536
1979,61.27282635649213607679742721974317934155,0.7850636103281065271313300317205398734996,94.28200989789235999488651324956425335256,10959.3830113099449645308430734783394935,0.3153980283724437212600803164019671198683,6774.872876133398990894743731654904899833,9039.954404310645609891656314706528723948,0.3112933685865510263569860631662739549972,5515.592602437910683483652955070361726906,15.44495540581146829629735961477754868412,1,30.27211259539047786074282484496399542088,11005.2108822606256323113431410833051242,0.3147910935008812330338507066215677208751,6790.111040955855690320181645949049195327,45.82787095068066778050006760496563065743,1,89.82262706333410884978013250573263608872,1919.428606999299354639186758771810769582,0.4570355411886360246446262048148025121526,1719.404300658834116396704240586943815833,3808.308892870132428347182609749449304323,0.3523420301986119515769803358428719910689,2629.981482397089669283421113418697826893,5231.645511440513181544473704957079419616,0.3345232977683558769154522211409183649479,3430.210326114510636491128577071571132298,91.6725346641102869785451272424021676425,0.7295549011494978490418442465969841511553,131.085088051397835019696447037044503974,1097.287100430864943717776904217430925255,0.7932433146997397791122018870795659964112,1706.014687177169315473778521850999731161
1980,2083.760494476831040083913102355846519099,0.4920535965651636758324905891694439742528,2009.63081754794804143869669219852649658,23552.9162932768265356058930883855283793,0.4299100579662873597588536497649616437318,19846.2457934787988442122576683177472541,20678.6151948338283699540083824466982179,0.4458007477253807887979856652615035886298,18068.342546933389201768772945157041988,1182.402333551581321377426707608153808372,0.5115669434737152015343853973697238743963,1185.560777553094668287088694399017425014,24454.27445420207625431237948313322109,0.4211931589552187558065602438776705196892,20187.9472903536297525711712134271832644,901.358160925249718706486394747692710727,0.568588240576569828914187161434514750936,1004.503235665648042319591819613852484795,2874.301098442998165651884705938830161394,0.4630231346871494959293776504241358980575,2608.501093086156400643068994219240051983,4235.607276483985316699908439443267281144,0.3565430890784060451829651505587871598014,2959.945944861925822714490798829679229382,16443.0079183498430532540999430034309368,0.4993037666250991280202271714545570112731,16091.7093450256778254262210452661456187,699.455597998233732013354072580345602166,0.8649147754687305689290467693109095720875,1185.740183726258438259635950623214486852,211603.7053483009921615167143749477385733,0.9837517480070266873427110676667964346301,408004.409441463648976253348469555007835
1981,1704.246965165250214093083873243708109048,0.2985499795224507838991540574654506639276,997.253677240517317876926934923124125942,11628.2478086860188637508835851569462164,0.1738920148429458763522120390529825462598,3963.23650346914482465059005684954081531,10553.5367015218846173648402749305318099,0.1746548508972201568600356441568930800672,3612.72370292358495328831324254864678793,919.748154351179291942288357122177644896,0.3539532872141657321351472091678386338827,638.073849977853127149117494345233017881,12412.7466195000897859016791012784766806,0.1712959368200089470551260255911026571751,4167.455998965467354257686354133712994126,784.498810814070922150795516121530464152,0.2665109405713538070314637956072074158205,409.791931256446514164327637630456457758,1074.71110716413424638604331022641440655,0.325630982649199870828909382452838646008,685.920098424138500288540056518126360796,1439.368817131642223189928052968416719743,0.2857065295222414644496178794512006829309,806.024656112622016614786215988611823133,9114.16788439024239417491222196211509018,0.1786563470855579423950865596443555155172,3191.475724261350219662479100657436798648,497.156969391382063758788388392618735735,0.4125530655543997979418354442437950104366,402.003118296933173596715268075830303395,5986.817535172171415266129862630169917622,0.469300750935184219687049104352214668239,5506.85121133772827032930451121499211826
1982,1151.963536559860838983649725824266023258,0.2324953885120564330942511666777416623377,524.939371569046446319141395952333313108,7388.956973600269281743176315558825393524,0.1872449858313598135490110682070269861139,2711.748481907407030717895710146093517193,6893.42864538213944062149650376595052021,0.1920706762210931289125876997411558150878,2595.08998274478695730607646342890712808,446.044520268305047409987022125818887786,0.3709619438894389547090156532690631248286,324.312462907926879387481322318752195961,8094.875989891825073316839019257272529004,0.1821440249954698338244877461087371145241,2889.889257490646992089130881740073292749,705.919016291555791573662703698447135475,0.2285243676181345215713365344548303687749,316.186605703781040711367343827191358107,495.528328218129841121679811792874873324,0.296113140364596385534026661840114547237,287.595600840246184377369775221703996246,1273.540229421929921547340966941984409084,0.2279234752766700124109392227361002960033,568.928641389208044010864410643293977696,5619.88841596020951907415553682396611112,0.2065549390011348514954072910398405584927,2275.198789545617067128413934861685088078,553.165440279369706236802696510301583408,0.5724359677336812562495557017717092756458,620.637516481371771633226193173249180845,8823.724056254087947373201691497582465735,0.6779109666895467543257342017905943535677,11724.1306373629540763809202425712473526
1983,962.343470623974046936412083102124615339,0.35735457882293930579606740033058252898,674.03977743055838336202682775138524043,5408.734330159459205046461040505509591047,0.1775155688441634915528134149376753407029,1881.863720636615497235830022980988948357,4474.396055401496995498111643157076945614,0.1748263568470900347246051909436802259224,1533.195028455394927354764736402994600817,378.087014420844779386574597567807255738,0.4444832385767312705025883414334542013041,329.384547641825397392224977660976531468,5992.990786362588472596298526039826950663,0.1803048633317134427820298261382367756293,2117.908153979315802797059638651633750455,584.256456203129267549837485534317359601,0.3237472661447148257579614702325930568732,370.736803629398328051634915111881909317,934.338274757962209548349397348432645448,0.2938202884402163128283215198040263738855,538.073981124632332423837864824356378695,798.836048221320041032974173226560059294,0.2940626836956914645291950719624714164564,460.419429458731451972317371975066211301,3675.560007180176954465137469930516886323,0.2013079783168493431443521485279530560637,1450.242326286303129562597891367704167789,258.054801584406771876759712027648587388,0.6070176574790107414701824100397780101231,307.021889471595916163045260500014764168,9989.874168295604048437108403299969940655,0.7913547873647286267353552761507535642803,15494.8481065738474436395317868061444018
1984,129.722109799788338100241651453476636106,0.3619355757365357066368652972783954881908,92.02405113244320595937830398314080441515,2215.662099014786544173302141287980269341,0.2286715511841887831409215678903168401166,993.051422600184757043703940931655446035,1824.019925211125129840258551911872871246,0.2473355539775080204073877048782267162813,884.24415818948850875527108048376624305,41.42878130129512392725399413182947512637,0.5596466403768438274310771816717018386281,45.4435374095465755606865422028747256098,2303.955427513279758346289798609627430318,0.2246734385819306677641653681039454205774,1014.569672948264921814486379697921394095,88.29332849849321417298765732164716097972,0.4871089600568174568449060789419342745718,84.29660399271774726885436289983054783072,391.642173803661414333043589376107398093,0.3287582251719131409723724733062443752457,252.360948485836856173394182807775357776,454.914138268950589116559253814300238286,0.4052267327102564418613768661470627529742,361.313005032280215733173975671760423448,1369.105786942174540723699298097572632958,0.2812359375529933624223991254022632570216,754.68182921582601944574054747734412092,15.34675863943153795625765401534738424876,0.6879519541044291225373622740150579794582,20.69335188652527478849263208022437700723,3069.555223191940505967983949045377201098,0.3808938354078012024411056384363354546568,2291.582337436949843918589629114149275615
